------------- ITEM IDs -------------
0		: Poké
1-20	: Food
21-30	: Projectiles
31-60	: Seeds
61-80	: Gummies
81-150	: Orbs
151-170	: Drinks
171-220 : Equipables
221-300 : TMs
300-310 : HMs
311-350 : Evolution Items
351-380 : Usables
381-400 : Unusables

Move IDs: 50 Ids per type (escept Normal, with 200 IDs).
Normal: 1-50
Fighting: 51-100
etc...


Move ID changes
321	1
327	2
322	3
276	4
319	5
326	6
354	7
301	8
357	9
358	10
288	11
323	12
359	13
265	14
269	15
260	16
363	17
364	18
324	19
320	20
367	21
368	22
369	23
332	24
370	25
290	26
294	27
334	28
263	29
279	30
374	31
376	32
267	33
280	34
380	35
382	36
384	37
308	38
309	39
310	40
316	41
281	42
393	43
397	44
311	45
400	46
261	47
401	48
404	49
271	50
282	51
293	52
408	53
408	54
338	55
318	56
410	57
295	58
283	59
302	60
412	61
340	62
613	63
299	64
418	65
303	66
419	67
274	68
268	69
422	70
284	71
300	72
423	73
325	74
346	75
347	76
348	77
355	78
360	79
361	80
278	81
307	82
330	83
366	84
331	85
371	86
333	87
375	88
379	89
381	90
383	91
386	92
389	93
390	94
336	95
391	96
392	97
317	98
337	99
398	100
399	101
405	102
407	103
312	104
414	105
417	106
345	107
350	108
351	109
296	110
285	111
329	112
289	113
306	114
365	115
372	116
373	117
272	118
387	119
388	120
394	121
396	122
292	123
406	124
298	125
339	126
415	127
420	128
421	129
275	130
304	131
424	132
426	133

115	201
112	202
85	203
92	204
107	205
117	206
105	207
119	208
97	209
89	210
121	211
90	212
108	213
118	214
109	215
114	216
100	217
113	218
98	219
120	220
84	221
104	222
96	223
88	224

158	251
156	252
167	253
171	254
168	255
152	256
164	257
155	258
160	259
166	260
157	261
170	262

437	301
441	302
444	303
445	304
440	305
432	306
439	307
446	308
429	309
435	310
436	311

227	351
231	352
225	353
223	354
235	355
238	356
233	357
236	358
234	359
239	360
230	361
237	362
232	363

504	401
507	402
506	403
510	404
513	405
511	406
508	407

13	451
14	452
20	453
11	454
12	455
1	456
19	457
5	458
9	459
21	560

184	501
182	502
183	503
185	504
186	505
188	506
175	507
189	508
181	509
187	510
178	511

517	551
525	552
521	553
516	554
531	555
532	556
518	557

146	601
128	602
140	603
147	604
136	605
143	606
134	607
150	608
124	609
137	610
125	611
132	612
126	613
151	614

554	651
546	652
552	653
540	654
536	655
538	656
543	657
551	658
559	659
547	660
556	661
553	662
541	663
534	664
537	665
548	666
558	667
535	668

210	701
217	702
207	703
192	704
205	705
218	706
195	707
219	708
220	709
208	710
214	711
200	712
221	713
212	714
209	715
190	716
215	717
206	718
197	719
203	720
204	721

65	751
69	752
72	753
79	754
83	755
74	756
67	757
81	758
76	759
66	760

466	801
468	802
469	803
462	804
449	805
479	806
481	807
482	808
486	809
460	810
452	811
464	812
492	813
493	814
497	815
450	816
463	817
470	818
471	819
453	820
480	821
456	822
484	823
457	824
448	825
494	826
495	827
498	828

246	851
242	852
258	853
243	854
245	855
259	856
250	857
253	858
257	859
254	860
255	861
256	862

62	901
59	902
53	903
61	904
63	905
57	906

28	951
36	952
24	953
29	954
33	955
34	956
41	957
42	958
35	959
44	960
47	961
49	962
50	963

416	1001
353	1002
385	1003














